device_id,device_type,os,manufacturer,model,last_used
75183d61-5205-422d-8725-6bc87fc43577,cellulaire,Android,Hines Group,together,2024-05-08 07:24:35
3c61f4b7-4f27-466e-acab-ea9a091e9942,tablet,os blackberry,Ramos and Sons,natural,2024-03-17 04:32:46
dbd808ad-3efc-4edb-838e-1e606bfa86ce,tablet,os blackberry,Knight-Smith,employee,2024-05-26 12:29:49
5751629a-486e-4d9b-b5c0-c7c609f19ff6,tablet,os blackberry,Rodriguez-Ray,action,2024-01-09 12:01:37
13cf249a-5d7d-4281-96f8-928b829464c1,tablet,os blackberry,"Neal, Boyd and Morrow",else,2023-09-16 02:44:57
9e563b46-88d7-4a12-94f7-b4951d5f7178,smartphone,iOS,Huff Group,should,2024-03-12 23:36:56
eee528a5-b58a-4ba2-b63a-888edaad6cd3,smartphone,iOS,Lewis LLC,bag,2023-12-07 18:15:05
b125e4d4-cf77-4242-afc1-b66dbb78fea6,tablet,iOS,Grimes-Reynolds,operation,2023-08-19 05:16:18
9c8e0b0b-1f0d-4382-829e-958773dde8e6,cellulaire,os blackberry,Hill-West,green,2024-03-16 07:55:49
17388e88-8d19-4bfa-8041-3cff13f89265,cellulaire,os blackberry,Harvey and Sons,class,2024-02-17 07:46:14
a98aead6-039f-415e-8f46-757b82da0c2e,smartphone,iOS,Casey-Sweeney,visit,2024-02-25 22:24:56
5cfbfbb6-9526-4db6-a651-b6a96064548d,tablet,os blackberry,"Doyle, Gibbs and Walker",nor,2024-03-17 00:06:52
70d73c63-abc3-4d5b-a6ab-6b09b4982d41,cellulaire,iOS,Crane-Morales,brother,2024-06-30 18:28:09
61f6f746-f6ef-4c52-9a2e-ce19088c274b,tablet,iOS,Costa Group,capital,2024-06-28 22:25:56
aa3ff7c5-e487-4592-9f8b-4bdffaebb555,cellulaire,os blackberry,"Johnson, Rivera and Mack",by,2023-10-26 23:28:51
2cd77d09-8cff-446b-8da5-dc41b21455e7,cellulaire,iOS,Atkins-Day,attention,2024-01-28 19:41:38
442fa05f-17bd-49de-b398-55586fbc973c,tablet,Android,"Butler, Mathis and Scott",bed,2024-06-29 14:14:35
9c7373a1-804e-42f0-bd5a-c494c6e7e03b,smartphone,Android,Alvarez-Mann,who,2024-03-03 16:31:58
85a0d678-70eb-4e5a-b946-64e143a08006,cellulaire,iOS,"Johnson, Fitzpatrick and Bennett",interest,2024-02-19 21:20:35
c33f87d8-4c4f-4897-b1a3-45a45435e7ca,tablet,iOS,Marshall Group,serious,2024-02-12 09:59:51
9650511c-8e76-488a-8d8a-0b532b37c871,smartphone,Android,Howell PLC,or,2023-11-06 05:42:50
f4d2d632-3aa9-4571-b570-5966ca2e53f4,tablet,Android,"Logan, Taylor and Ford",yourself,2024-06-05 22:08:12
c62a207f-e9e1-4e8c-80dc-1c166d11a5a8,cellulaire,Android,"Hernandez, Patterson and Hughes",region,2024-03-01 01:39:05
